SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CEP,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF
CANCELADA,28.053.387/0001-63,IND MASSAS E BISCOITOS ALCOBAÇA SA,VILA VELHA,2.91202e+07,9920,1977-07-20 00:00:00,1988-01-12 00:00:00,Alimentos,PRIVADO,SEDE,ES
CANCELADA,30.819.585/0001-37,IND METALURGICA IGUACU SA,NOVA IGUAÇU,2.615e+07,7218,1976-05-05 00:00:00,2005-12-20 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,RJ
CANCELADA,61.085.544/0001-98,IND OLEOS PACAEMBU SA,CASCAVEL,8.5816e+07,12645,1986-04-11 00:00:00,2006-11-22 00:00:00,Alimentos,PRIVADO,SEDE,PR
CANCELADA,15.891.435/0001-40,IND PAPEIS SANTO AMARO SA,SANTO AMARO,4.42e+07,7080,1977-07-20 00:00:00,2005-03-22 00:00:00,Papel e Celulose,PRIVADO,SEDE,BA
CANCELADA,60.432.648/0001-69,IND PAPEL PAPELAO S.ROBERTO SA,SÃO PAULO,2.1109e+06,7099,1983-11-28 00:00:00,1996-11-11 00:00:00,Embalagens,PRIVADO,SEDE,SP
CANCELADA,84.430.610/0001-15,IND TEXTIL JARITA SA,JARAGUÁ DO SUL,8.925e+07,7269,1980-11-20 00:00:00,2005-03-22 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SC
CANCELADA,92.690.817/0001-57,"INDAC - INDÚSTRIA, ADM. E COMÉRCIO S.A.",PORTO ALEGRE,9.022e+07,7277,1983-03-30 00:00:00,2010-03-08 00:00:00,Emp. Adm. Part. - Metalurgia e Siderurgia,PRIVADO,SEDE,RS
CANCELADA,92.750.132/0001-59,INDL ARTE TECNICA S.A.,PORTO ALEGRE,9.02e+07,7285,1976-03-17 00:00:00,1989-01-24 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,RS
CANCELADA,01.003.635/0001-05,INDL BRASIL ARREND MERC SA,BARUERI,6.453e+06,15954,1996-12-05 00:00:00,2003-10-01 00:00:00,Arrendamento Mercantil,PRIVADO,SEDE,SP
CANCELADA,92.721.315/0001-46,INDL E COML BRAS SA INCOBRASA,PORTO ALEGRE,9e+07,7307,1983-10-13 00:00:00,1988-01-11 00:00:00,Alimentos,PRIVADO,SEDE,RS
CANCELADA,18.135.624/0001-81,INDS ALIMCS ITACOLOMY SA ITASA,MONTES CLAROS,3.94e+07,7340,1977-07-20 00:00:00,1987-11-26 00:00:00,Alimentos,ESTRANGEIRO,SEDE,MG
CANCELADA,09.886.995/0001-04,INDS ALIMENTICIAS MAGUARY SA,SÃO PAULO,4.578e+06,7358,1977-07-20 00:00:00,1992-03-13 00:00:00,Alimentos,PRIVADO,SEDE,SP
CANCELADA,62.291.380/0001-18,INDS ARTEB SA,SÃO BERNARDO DO CAMPO,9.8919e+06,15881,1996-11-28 00:00:00,2010-01-25 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
CANCELADA,86.046.562/0001-91,INDS ARTEFAMA SA,SÃO BENTO DO SUL,8.929e+07,7366,1977-07-20 00:00:00,1993-06-24 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SC
CANCELADA,61.142.063/0001-77,INDS C FABRINI SA,SÃO BERNARDO DO CAMPO,9.883e+06,7374,1977-07-20 00:00:00,1996-06-14 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
CANCELADA,56.993.645/0001-27,INDS CHOCOLATE LACTA S/A,SÃO PAULO,4.6029e+06,7390,1977-07-20 00:00:00,1998-07-17 00:00:00,Alimentos,PRIVADO,SEDE,SP
CANCELADA,10.728.806/0001-54,INDS COELHO SA,RECIFE,5.00303e+07,7382,1977-07-20 00:00:00,2010-01-04 00:00:00,Alimentos,PRIVADO,SEDE,PE
CANCELADA,31.901.382/0001-58,INDS DE BEBS JOAQUIM T A F SA,SÃO JOÃO DA BARRA,2.815e+07,12068,1984-11-19 00:00:00,1986-07-25 00:00:00,Bebidas e Fumo,PRIVADO,SEDE,RJ
CANCELADA,08.397.697/0001-98,INDS JOSSAN SA,NATAL,5.907e+07,7404,1977-10-20 00:00:00,1991-06-13 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,RN
CANCELADA,06.061.105/0001-37,INDS KARINA SA,SÃO LUÍS,6.5e+07,7412,1977-07-20 00:00:00,2005-08-09 00:00:00,Alimentos,PRIVADO,SEDE,MA
CANCELADA,60.873.874/0001-85,INDS MADEIRIT SA,SÃO PAULO,1.048e+06,7439,1968-08-05 00:00:00,2010-01-04 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,10.775.468/0001-01,INDS MINERVA SA,RECIFE,5.214e+07,7455,1977-07-20 00:00:00,2006-11-22 00:00:00,Embalagens,PRIVADO,SEDE,PE
CANCELADA,43.995.323/0001-75,INDS MONSANTO SA,SÃO PAULO,5.424e+06,7463,1981-09-29 00:00:00,1986-03-07 00:00:00,Petroquímicos e Borracha,ESTRANGEIRO,SEDE,SP
CANCELADA,00.322.818/0001-20,INDS NUCLEARES DO BRASIL SA,RIO DE JANEIRO,2.003e+07,5606,1973-11-08 00:00:00,1994-07-18 00:00:00,Outras Atividades Industriais,ESTATAL,SEDE,RJ
CANCELADA,06.283.477/0001-08,INDS QUIMICAS NORTE SA,SÃO LUÍS,6.511e+07,7471,1971-10-25 00:00:00,2005-08-09 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,MA
CANCELADA,10.810.653/0001-90,INDS ROMI DO NORDESTE SA,SANTA BÁRBARA D'OESTE,1.345e+07,7501,1965-10-14 00:00:00,1988-07-14 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,84.685.106/0001-66,INDS SCHNEIDER SA,JOINVILLE,8.92042e+07,7528,1982-08-23 00:00:00,2000-01-04 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SC
CANCELADA,71.444.681/0001-25,INDS TEXTEIS BARBERO SA,CARIACICA,2.91409e+07,7536,1982-09-01 00:00:00,2008-03-18 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,ES
CANCELADA,28.500.320/0001-20,INDÚSTRIA VEROLME S.A. - IVESA,RIO DE JANEIRO,2.004e+07,12866,1986-07-02 00:00:00,2015-04-07 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO HOLDING,SEDE,RJ
CANCELADA,88.301.163/0001-55,INDUSTRIAS MICHELETTO S/A,CANOAS,9.242e+07,7447,1968-09-17 00:00:00,2008-06-26 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RS
CANCELADA,02.225.714/0001-23,INEPAR ENERGIA SA,CURITIBA,8.04101e+07,16730,1997-12-17 00:00:00,2011-11-21 00:00:00,Energia Elétrica,PRIVADO,SEDE,PR
ATIVO,02.258.422/0001-97,INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA,CURITIBA,8.04102e+07,17868,1998-10-23 00:00:00,1998-10-23 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,PR
ATIVO,76.627.504/0001-06,INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL,CURITIBA,8.04102e+07,7595,1980-01-22 00:00:00,1980-01-22 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,PR
CANCELADA,07.704.069/0001-45,INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A,SÃO PAULO,4.55106e+06,21288,2008-01-10 00:00:00,2008-11-27 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",ESTRANGEIRO HOLDING,SEDE,SP
CANCELADA,01.596.910/0001-41,INFOVIAS PNSC SA,SÃO PAULO,1.405e+06,16314,1997-07-02 00:00:00,2002-05-27 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,SP
ATIVO,38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,SÃO PAULO,4.5489e+06,25747,2021-04-27 00:00:00,2021-04-27 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP
CANCELADA,10.488.244/0001-19,INFRASEC SECURITIZADORA S/A,SÃO PAULO,1.4182e+06,21750,2009-09-22 00:00:00,2026-04-13 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,SP
CANCELADA,02.604.860/0001-60,INNCORP S.A.,SÃO PAULO,4.53202e+06,17558,1998-07-20 00:00:00,2020-11-05 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,SP
ATIVO,35.822.503/0001-27,INSPIRALI EDUCAÇÃO S.A.,BELO HORIZONTE,3.04556e+07,27251,2023-07-27 00:00:00,2023-07-27 00:00:00,Educação,PRIVADO,SEDE,MG
CANCELADA,19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,BELO HORIZONTE,3.01401e+07,24090,2017-02-10 00:00:00,2023-07-19 00:00:00,Serviços Médicos,PRIVADO,SEDE,MG
CANCELADA,19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,BELO HORIZONTE,3.01401e+07,24090,2017-02-10 00:00:00,2023-07-19 00:00:00,Serviços Médicos,PRIVADO,SEDE,MG
ATIVO,82.901.000/0001-27,INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,SÃO JOSÉ,8.81048e+07,25453,2021-02-02 00:00:00,2021-02-02 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SC
