SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CEP,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF
SUSPENSO(A) - DECISÃO ADM,08.773.135/0001-00,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,4.71113e+06,25224,2020-10-29 00:00:00,2026-05-19 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,11.396.633/0001-87,3A COMPANHIA SECURITIZADORA,RIO DE JANEIRO,2.002e+07,21954,2010-03-08 00:00:00,2015-12-18 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ
ATIVO,01.547.749/0001-16,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,RIO DE JANEIRO,2.2775e+07,16330,1997-07-11 00:00:00,1997-07-11 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ
ATIVO,01.851.771/0001-55,524 PARTICIPAÇOES SA,RIO DE JANEIRO,2.002e+07,16284,1997-05-30 00:00:00,1997-05-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ
CANCELADA,01.919.008/0001-19,525 PARTICIPAÇOES SA,RIO DE JANEIRO,2.22902e+07,16349,1997-07-16 00:00:00,2006-05-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,RJ
CANCELADA,92.659.614/0001-06,A J RENNER SA IND E PARTIP,PORTO ALEGRE,9.02401e+07,35,1969-06-24 00:00:00,1998-06-17 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,RS
CANCELADA,02.288.752/0001-25,A.P. PARTICIPAÇOES SA,RIO DE JANEIRO,2.003e+07,16802,1998-01-21 00:00:00,2004-12-23 00:00:00,Emp. Adm. Participações,ESTATAL,SEDE,RJ
CANCELADA,21.649.280/0001-33,ABC DADOS E INFORMATICA SA,SÃO PAULO,4.565e+06,13307,1988-06-03 00:00:00,1993-03-05 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
CANCELADA,02.258.274/0001-00,ABC SUPERMERCADOS SA,PETRÓPOLIS,2.5635e+07,16934,1998-02-27 00:00:00,2001-12-17 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ
CANCELADA,42.275.727/0001-21,ABC XTAL MICROELETRONICA SA,RIO DE JANEIRO,2.1515e+07,13005,1986-09-15 00:00:00,1997-09-11 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RJ
CANCELADA,34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,BARUERI,6.455e+06,15270,1995-12-20 00:00:00,2009-09-30 00:00:00,Arrendamento Mercantil,PRIVADO,SEDE,SP
CANCELADA,44.597.052/0001-62,ABRIL SA,SÃO PAULO,5.4259e+06,14370,1994-05-06 00:00:00,1999-12-21 00:00:00,Gráficas e Editoras,PRIVADO,SEDE,SP
CANCELADA,07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,SÃO PAULO,4.028e+06,20206,2006-07-24 00:00:00,2010-05-28 00:00:00,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SEDE,SP
ATIVO,07.636.657/0001-99,ACO VERDE DO BRASIL S.A,AÇAILÂNDIA,6.593e+07,26425,2021-11-29 00:00:00,2021-11-29 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MA
CANCELADA,18.451.005/0001-04,ACOPALMA CIA INDL ACOS V PALMA,VÁRZEA DA PALMA,3.925e+07,60,1978-05-09 00:00:00,2007-08-07 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MG
CANCELADA,61.150.660/0001-43,ACOS ANHANGUERA SA,SÃO PAULO,4.6699e+06,78,1971-10-20 00:00:00,1994-02-09 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,60.890.688/0001-54,ACOS DO BRASIL SA IND E COM,SANTO ANDRÉ,9.22e+06,86,1972-08-16 00:00:00,1989-12-14 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,92.767.409/0001-56,AÇOS FINOS PIRATINI S/A,PORTALEGRE,9.022e+07,14508,1994-07-21 00:00:00,1995-09-05 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,RS
CANCELADA,60.852.316/0001-33,ACOS IPANEMA (VILLARES) SA,SÃO PAULO,4.669e+06,10715,1977-10-20 00:00:00,1993-01-11 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,60.664.810/0001-74,AÇOS VILLARES SA,SÃO PAULO,5.42507e+06,108,1969-05-16 00:00:00,2010-12-30 00:00:00,Metalurgia e Siderurgia,ESTRANGEIRO,SEDE,SP
CANCELADA,13.546.353/0001-33,ACRINOR ACRILONITRILA DO NE SA,CAMAÇARI,4.281e+07,116,1981-12-23 00:00:00,2000-02-21 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,BA
CANCELADA,07.825.881/0001-29,ACRUX SECURITIZADORA S/A,RIO DE JANEIRO,2.1011e+07,20230,2006-08-09 00:00:00,2016-02-04 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ
CANCELADA,02.808.627/0001-07,ACTORI PARTICIPAÇÕES SA,SÃO PAULO,4.5389e+06,18040,1998-12-09 00:00:00,2002-04-24 00:00:00,Emp. Adm. Participações,PRIVADO HOLDING,SEDE,SP
CANCELADA,47.080.619/0001-17,AÇUCAR GUARANI S/A,OLÍMPIA,1.54e+07,20940,2007-07-20 00:00:00,2010-08-13 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO HOLDING,SEDE,SP
CANCELADA,43.631.183/0001-56,ADEPAR ASSESSORIA ADM SERV SA,PORTO ALEGRE,9.001e+07,7625,1981-04-14 00:00:00,1989-08-02 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,RS
CANCELADA,11.029.808/0001-18,ADESENE ADESIVOS NO NORDESTE SA,JOÃO PESSOA,5.8e+07,132,1974-12-10 00:00:00,2005-08-09 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,PB
CANCELADA,17.157.215/0001-13,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,COTIA,6.7e+06,159,1969-09-22 00:00:00,2005-12-20 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,SP
CANCELADA,10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,SÃO PAULO,5.42507e+06,21725,2009-06-24 00:00:00,2022-07-12 00:00:00,Farmacêutico e Higiene,ESTRANGEIRO,SEDE,SP
ATIVO,08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,SÃO PAULO,1.452e+06,23396,2014-05-21 00:00:00,2014-05-21 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SEDE,SP
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,6.1642e+07,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,6.1642e+07,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE
CANCELADA,33.037.169/0001-75,AEROFOTO CRUZEIRO SA,RIO DE JANEIRO,2.103e+07,167,1977-07-20 00:00:00,1992-12-01 00:00:00,Serviços Diversos,PRIVADO,SEDE,RJ
CANCELADA,01.917.705/0001-30,AES ELPA SA,BARUERI,6.46004e+06,19313,2002-10-14 00:00:00,2018-09-05 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP
CANCELADA,04.128.563/0001-10,AES TIETÊ ENERGIA S.A,SÃO PAULO,4.578e+06,18970,2001-06-29 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,04.128.563/0001-10,AES TIETÊ ENERGIA S.A,SÃO PAULO,4.578e+06,18970,2001-06-29 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,02.998.609/0001-27,AES TIETE SA,BARUERI,6.46004e+06,18350,1999-07-14 00:00:00,2015-10-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,02.998.609/0001-27,AES TIETE SA,BARUERI,6.46004e+06,18350,1999-07-14 00:00:00,2015-10-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,02.808.481/0001-91,AETATIS SECURITIZADORA S.A.,SÃO PAULO,4.543e+06,18104,1998-12-17 00:00:00,2016-06-24 00:00:00,Securitização de Recebíveis,PRIVADO HOLDING,SEDE,SP
CANCELADA,07.620.094/0001-40,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,SÃO PAULO,4.542e+06,20150,2006-07-12 00:00:00,2017-11-24 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP
ATIVO,10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,RIO DE JANEIRO,2.22109e+07,22179,2010-09-24 00:00:00,2010-09-24 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,RJ
CANCELADA,61.573.796/0001-66,AGF BRASIL SEGUROS SA,SÃO PAULO,1.3099e+06,12343,1985-04-09 00:00:00,2005-05-30 00:00:00,Seguradoras e Corretoras,PRIVADO,SEDE,SP
CANCELADA,33.058.793/0001-59,AGGS INDS GRAFICAS SA,RIO DE JANEIRO,2.27e+07,175,1971-05-14 00:00:00,1987-05-04 00:00:00,Gráficas e Editoras,PRIVADO,SEDE,RJ
CANCELADA,61.442.752/0001-05,AGIP DISTRIBUIDORA SA,SÃO PAULO,1.31194e+06,3921,1975-10-10 00:00:00,2000-01-14 00:00:00,Petróleo e Gás,PRIVADO,SEDE,SP
CANCELADA,07.698.047/0001-10,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,SÃO PAULO,4.547e+06,20664,2007-04-19 00:00:00,2010-05-28 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,88.610.324/0001-92,AGRALE SA,CAXIAS DO SUL,9.50552e+07,183,1977-07-20 00:00:00,2000-06-26 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RS
CANCELADA,11.040.082/0001-14,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,SÃO PAULO,4.547e+06,21911,2009-12-22 00:00:00,2010-07-19 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,88.070.990/0001-85,AGRILEASING SA ARREND MERC,PORTO ALEGRE,9e+07,191,1983-01-24 00:00:00,1985-09-30 00:00:00,Arrendamento Mercantil,ESTRANGEIRO,SEDE,RS
CANCELADA,09.378.563/0001-92,AGRO PASTORIL CARIRI SA CARIRISA,CAMPINA GRANDE,5.81001e+07,205,1977-07-20 00:00:00,2005-08-09 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SEDE,PB
ATIVO,21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,GOIÂNIA,7.423e+07,25658,2021-03-19 00:00:00,2021-03-19 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,GO
CANCELADA,21.444.765/0001-90,AGRONORTE SA,BELO HORIZONTE,3.051e+07,221,1977-07-20 00:00:00,2005-12-20 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SEDE,MG
CANCELADA,03.143.716/0001-36,AGROPECUARIA TAMAKAVY SA,SÃO FÉLIX DO ARAGUAIA,7.867e+07,213,1983-09-16 00:00:00,1988-02-25 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SEDE,MT
ATIVO,27.157.474/0001-06,ÁGUAS DE TERESINA SANEAMENTO SPE S.A.,TERESINA,6.4089e+07,25615,2021-02-25 00:00:00,2021-02-25 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PI
ATIVO,61.067.901/0001-95,ÁGUAS DO PARÁ A SPE S.A,BELÉM,6.6093e+07,27979,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA
ATIVO,61.067.902/0001-30,ÁGUAS DO PARÁ B SPE S.A.,BRAGANÇA,6.86e+07,27960,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA
ATIVO,61.067.904/0001-29,ÁGUAS DO PARÁ D SPE S.A.,PARAUAPEBAS,6.8515e+07,27987,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA
ATIVO,42.310.775/0001-03,ÁGUAS DO RIO 1 SPE S.A.,RIO DE JANEIRO,2.00812e+07,26735,2022-03-30 00:00:00,2022-03-30 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,RJ
ATIVO,42.644.220/0001-06,ÁGUAS DO RIO 4 SPE S.A.,RIO DE JANEIRO,2.00812e+07,26743,2022-03-30 00:00:00,2022-03-30 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,RJ
ATIVO,45.456.117/0001-12,ÁGUAS DO SERTAO S.A.,PENEDO,5.72e+07,27359,2023-11-03 00:00:00,2023-11-03 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SEDE,AL
ATIVO,04.089.570/0001-50,AGUAS GUARIROBA S.A.,CAMPO GRANDE,7.90212e+07,23442,2014-08-06 00:00:00,2014-08-06 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,MS
CANCELADA,09.594.796/0001-22,AGV HOLDING S/A,VINHEDO,1.328e+07,21806,2009-11-05 00:00:00,2014-03-10 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,SP
CANCELADA,60.830.296/0001-08,AIR LIQUIDE,SÃO PAULO,4.2059e+06,9288,1970-09-17 00:00:00,1998-11-19 00:00:00,Outras Atividades Industriais,ESTRANGEIRO,SEDE,SP
CANCELADA,56.994.791/0001-77,AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA,SÃO PAULO,4.553e+06,17957,1998-11-27 00:00:00,2007-11-13 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,SP
ATIVO,23.438.929/0001-00,ALARES INTERNET PARTICIPAÇÕES S/A,SÃO PAULO,4.55108e+06,25194,2020-10-14 00:00:00,2020-10-14 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO,SEDE,SP
CANCELADA,02.783.422/0001-06,ALBAE PARTICIPACOES SA,SÃO PAULO,4.5389e+06,18074,1998-12-10 00:00:00,2002-05-15 00:00:00,Emp. Adm. Participações,PRIVADO HOLDING,SEDE,SP
CANCELADA,57.912.396/0001-60,ALBATROZ SA,SÃO PAULO,1.31e+06,13242,1987-11-05 00:00:00,1990-12-27 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,SP
CANCELADA,08.240.673/0001-20,ALCALIS RIO GRANDE DO NORTE SA,MACAU,5.95e+07,15067,1995-07-28 00:00:00,2010-01-04 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,RN
CANCELADA,60.561.800/0001-03,ALCAN ALUMINIO DO BRASIL SA,SÃO PAULO,1.31e+06,256,1983-11-11 00:00:00,1987-07-28 00:00:00,Metalurgia e Siderurgia,ESTRANGEIRO,SEDE,SP
CANCELADA,23.637.697/0001-01,ALCOA ALUMINIO SA,SÃO PAULO,5.805e+06,264,1981-10-20 00:00:00,1993-10-19 00:00:00,Metalurgia e Siderurgia,ESTRANGEIRO,SEDE,SP
ATIVO,17.167.396/0001-69,ALFA HOLDINGS S.A.,SÃO PAULO,1.3103e+06,9954,1977-07-20 00:00:00,1977-07-20 00:00:00,Emp. Adm. Part. - Intermediação Financeira,PRIVADO HOLDING,SEDE,SP
CANCELADA,15.167.984/0001-77,ALFA NORDESTE SA INDUSTRIA DO VESTUARIO,SALVADOR,4.0445e+07,272,1980-11-17 00:00:00,2007-11-13 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,BA
CANCELADA,92.689.173/0001-87,ALFRED SA COMERCIO DO VESTUARIO,CAXIAS DO SUL,9.50204e+07,280,1982-01-22 00:00:00,2005-08-09 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,RS
ATIVO,71.208.516/0001-74,ALGAR TELECOM S/A,UBERLÂNDIA,3.84007e+07,21032,2007-07-27 00:00:00,2007-07-27 00:00:00,Telecomunicações,PRIVADO,SEDE,MG
CANCELADA,06.082.980/0001-03,ALIANSCE SHOPPING CENTERS S/A,RIO DE JANEIRO,2.2431e+07,21300,2008-01-18 00:00:00,2019-08-05 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ
CANCELADA,02.997.713/0001-05,ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA,BARUERI,6.455e+06,18260,1999-05-26 00:00:00,2003-11-10 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,SP
CANCELADA,33.826.637/0001-90,ALIPAR ALIMENTOS E PARTS SA,SALVADOR,4.02231e+07,14079,1992-12-28 00:00:00,1995-09-27 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,BA
ATIVO,61.156.931/0001-78,ALIPERTI S.A.,SÃO PAULO,4.15609e+06,12823,1986-06-06 00:00:00,1986-06-06 00:00:00,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SEDE,SP
CANCELADA,02.783.425/0001-40,ALIUM PARTICIPAÇÕES SA,RIO DE JANEIRO,2.004e+07,18082,1998-12-10 00:00:00,2011-08-31 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ
ATIVO,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,SÃO PAULO,4.00605e+06,24058,2016-10-26 00:00:00,2016-10-26 00:00:00,Serviços Médicos,PRIVADO,SEDE,SP
ATIVO,20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,SÃO PAULO,4.57891e+06,25330,2020-11-25 00:00:00,2020-11-25 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP
ATIVO,20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,SÃO PAULO,4.57891e+06,25330,2020-11-25 00:00:00,2020-11-25 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP
CANCELADA,08.648.295/0001-19,ALLIS PARTICIPAÇÕES S.A.,SÃO PAULO,1.452e+06,20850,2007-07-02 00:00:00,2015-08-26 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,SP
ATIVO,05.878.397/0001-32,ALLOS S.A.,RIO DE JANEIRO,2.24301e+07,22357,2011-02-01 00:00:00,2011-02-01 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO HOLDING,SEDE,RJ
ATIVO,05.878.397/0001-32,ALLOS S.A.,RIO DE JANEIRO,2.24301e+07,22357,2011-02-01 00:00:00,2011-02-01 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO HOLDING,SEDE,RJ
ATIVO,60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",SÃO PAULO,4.543e+06,24953,2020-05-13 00:00:00,2020-05-13 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP
ATIVO,60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",SÃO PAULO,4.543e+06,24953,2020-05-13 00:00:00,2020-05-13 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP
CANCELADA,18.012.393/0001-19,ALMEC INDUSTRIAS MECANICA SA,MONTES CLAROS,3.94e+07,302,1975-01-03 00:00:00,2005-03-22 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MG
ATIVO,82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,SÃO PAULO,1.452e+06,26395,2021-11-22 00:00:00,2021-11-22 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO,SEDE,SP
ATIVO,61.079.117/0001-05,ALPARGATAS SA,SÃO PAULO,4.794e+06,10456,1977-07-20 00:00:00,1977-07-20 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SP
ATIVO,61.079.117/0001-05,ALPARGATAS SA,SÃO PAULO,4.794e+06,10456,1977-07-20 00:00:00,1977-07-20 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SP
CANCELADA,47.848.684/0001-40,ALPART ALPA PARTICIPACOES SA,SÃO PAULO,4.501e+06,310,1982-09-03 00:00:00,1989-10-19 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,SP
CANCELADA,11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,SÃO PAULO,5.42502e+06,22217,2010-10-28 00:00:00,2024-09-23 00:00:00,Emp. Adm. Part. - Seguradoras e Corretoras,PRIVADO,SEDE,SP
ATIVO,16.811.931/0001-00,ALPHAVILLE S.A.,SÃO PAULO,4.794e+06,25275,2020-11-05 00:00:00,2020-11-05 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,87.819.926/0001-91,ALPINA BRASIL SA MAQ IMP AGRIC,CAXIAS DO SUL,9.50202e+07,329,1976-08-20 00:00:00,2005-08-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RS
CANCELADA,49.705.528/0001-55,ALPLAN SA IND COM CH MAD AGLOM,SÃO PAULO,1.311e+06,337,1982-12-02 00:00:00,1989-08-02 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,02.282.923/0001-09,ALTA - AMER.LAT.TELEC.AVANÇADAS S/A,RIO DE JANEIRO,2.021e+07,17310,1998-05-11 00:00:00,2003-12-29 00:00:00,Telecomunicações,PRIVADO,SEDE,RJ
CANCELADA,02.783.423/0001-50,ALTERE SECURITIZADORA S.A.,SÃO PAULO,3.6361e+06,18066,1998-12-10 00:00:00,2024-08-09 00:00:00,Securitização de Recebíveis,PRIVADO HOLDING,SEDE,SP
ATIVO,48.344.725/0007-19,ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA,ATIBAIA,1.29528e+07,27030,2022-11-30 00:00:00,2022-11-30 00:00:00,Farmacêutico e Higiene,PRIVADO,SEDE,SP
CANCELADA,92.859.974/0001-43,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,SÃO LEOPOLDO,9.30227e+07,23183,2013-07-02 00:00:00,2017-12-08 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RS
ATIVO,08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,BARCARENA,6.8447e+07,27430,2024-01-29 00:00:00,2024-01-29 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,PA
CANCELADA,10.886.893/0001-78,ALUMINIO EXTRUSAO LAMINACAO,RIO DE JANEIRO,2.0943e+07,345,1979-12-12 00:00:00,1997-01-30 00:00:00,Emp. Adm. Participações,ESTATAL,SEDE,RJ
ATIVO,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,SÃO PAULO,4.5479e+06,21490,2008-06-18 00:00:00,2008-06-18 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,82.998.600/0001-55,ALUSUD ALUMINIO DO SUL SA,TUBARÃO,8.87e+07,353,1975-12-17 00:00:00,1987-05-15 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SC
ATIVO,42.233.757/0001-75,ALVAREZ & MARSAL INVESTIMENTOS I S.A.,SÃO PAULO,4.57105e+06,26433,2021-11-30 00:00:00,2021-11-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,SP
CANCELADA,07.196.934/0001-90,"ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A",SÃO PAULO,1.31092e+06,1147,1977-07-20 00:00:00,2006-05-31 00:00:00,Bancos,ESTATAL,SEDE,SP
CANCELADA,96.735.105/0001-68,AMADEO ROSSI SA MET MUNICOES,SÃO LEOPOLDO,9.30302e+07,361,1971-12-08 00:00:00,2002-09-18 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,RS
CANCELADA,24.170.211/0001-30,AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,RIO DE JANEIRO,2.2431e+07,24503,2018-08-14 00:00:00,2018-11-05 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ
CANCELADA,02.036.227/0001-12,AMARANTE PARTICIPACOES SA,RIO DE JANEIRO,2.00579e+07,16918,1998-02-26 00:00:00,2000-06-20 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,RJ
CANCELADA,47.959.697/0001-96,AMAZONAS PRODS P CALCADOS SA,FRANCA,1.44e+07,370,1983-02-28 00:00:00,1988-06-15 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SP
CANCELADA,38.543.489/0001-10,AMAZONE FUN PARKS S/A,PENHA,8.8385e+07,26930,2022-08-26 00:00:00,2023-06-16 00:00:00,Hospedagem e Turismo,ESTRANGEIRO HOLDING,SEDE,SC
CANCELADA,02.340.278/0001-33,AMAZONIA CELULAR S/A,BELÉM,6.60533e+07,17280,1998-05-06 00:00:00,2009-03-09 00:00:00,Telecomunicações,PRIVADO HOLDING,SEDE,PA
ATIVO,07.526.557/0001-00,AMBEV S.A.,SÃO PAULO,4.53e+06,23264,2013-10-30 00:00:00,2013-10-30 00:00:00,Bebidas e Fumo,ESTRANGEIRO HOLDING,SEDE,SP
ATIVO,07.526.557/0001-00,AMBEV S.A.,SÃO PAULO,4.53e+06,23264,2013-10-30 00:00:00,2013-10-30 00:00:00,Bebidas e Fumo,ESTRANGEIRO HOLDING,SEDE,SP
ATIVO,12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,SÃO PAULO,1.234e+06,24961,2020-05-15 00:00:00,2020-05-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,SP
ATIVO,12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,SÃO PAULO,1.234e+06,24961,2020-05-15 00:00:00,2020-05-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,SP
CANCELADA,57.009.078/0001-94,AMELCO SA IND ELETRONICA,EMBU DAS ARTES,6.8359e+06,12750,1986-05-23 00:00:00,2003-07-21 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
CANCELADA,44.081.677/0001-77,AMERICA DO SUL LEAS SA ARR MER,SÃO PAULO,1.31091e+06,388,1982-09-28 00:00:00,2000-03-02 00:00:00,Arrendamento Mercantil,PRIVADO,SEDE,SP
ATIVO,00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,2.00819e+07,20990,2007-07-26 00:00:00,2007-07-26 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ
