SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,CIA INTER-ATLANTICO PARTICIPS,RIO DE JANEIRO,01.222.069/0001-22,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,AMERICAS EMPRS ARTISTICOS SA,RIO DE JANEIRO,01.223.522/0001-15,Hospedagem e Turismo,PRIVADO,RJ
CANCELADA,GLOBAL TRUST SA,RIO DE JANEIRO,01.245.375/0001-84,Serviços Diversos,PRIVADO,RJ
CANCELADA,DOMINIUM PAR SA,RIO DE JANEIRO,01.252.296/0001-09,Emp. Adm. Participações,ESTRANGEIRO,RJ
CANCELADA,ITAITINGA PARTICIPACOES SA,SÃO PAULO,01.258.943/0001-81,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SP
ATIVO,RUMO MALHA SUL S.A.,CURITIBA,01.258.944/0001-26,Serviços Transporte e Logística,PRIVADO,PR
CANCELADA,GRUÇAI PARTICIPAÇÕES SA,SÃO PAULO,01.258.945/0001-70,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO HOLDING,SP
CANCELADA,PATÍ DO ALFERES PARTICIPAÇÕES S.A.,SÃO PAULO,01.258.947/0001-60,Emp. Adm. Participações,PRIVADO HOLDING,SP
CANCELADA,BOMPRECO TRUST RECEBIVEIS SA,RECIFE,01.269.202/0001-04,Serviços Diversos,PRIVADO,PE
CANCELADA,CONDOMINIUM VILLAGE SA,CURITIBA,01.284.807/0001-66,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,PR
CANCELADA,DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A.,ITAPIPOCA,01.287.588/0001-79,Têxtil e Vestuário,PRIVADO,CE
CANCELADA,TELETRUST DE RECEBIVEIS SA,RIO DE JANEIRO,01.301.301/0001-18,Bancos,PRIVADO,RJ
ATIVO,WTC AMAZONAS SUITE HOTEL S.A.,SÃO PAULO,01.319.044/0001-41,Hospedagem e Turismo,PRIVADO,SP
