SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,MOVEIS DE ACO ANGELO FG SA,FORTALEZA,07.196.983/0001-22,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,CE
CANCELADA,CIA INDUSTRIAL PELES COUROS,SALGUEIRO,07.197.411/0001-68,Têxtil e Vestuário,PRIVADO,PE
CANCELADA,CIA BRASILEIRA DE ESTRUTURAS METALICAS,FORTALEZA,07.203.144/0001-94,Metalurgia e Siderurgia,PRIVADO,CE
CANCELADA,UNITEXTIL - UNIAO INDUSTRIAL TEXTIL S/A,FORTALEZA,07.203.904/0001-63,Têxtil e Vestuário,PRIVADO,CE
CANCELADA,QUEIROZ COMERCIO E PARTS SA,FORTALEZA,07.205.768/0001-40,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,CE
ATIVO,M. DIAS BRANCO SA IND E COM DE ALIMENTOS,EUSÉBIO,07.206.816/0001-15,Alimentos,PRIVADO,CE
CANCELADA,BANFORT-BANCO FORTALEZA S.A.,SÃO PAULO,07.216.674/0001-77,Bancos,PRIVADO,SP
CANCELADA,JAIME PINHEIRO PARTIC. S/A,SÃO PAULO,07.219.769/0001-44,Emp. Adm. Participações,PRIVADO,SP
ATIVO,BANCO DO NORDESTE DO BRASIL SA,FORTALEZA,07.237.373/0001-20,Bancos,ESTATAL,CE
CANCELADA,OLICAL INDUSTRIAL SA,FORTALEZA,07.249.238/0001-02,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,CE
ATIVO,CARBOMIL SA MINER. E INDUSTRIA,FORTALEZA,07.253.321/0001-47,Extração Mineral,PRIVADO,CE
CANCELADA,ITAUSEG PARTICIPAÇÕES SA,SÃO PAULO,07.256.507/0001-50,Emp. Adm. Part. - Seguradoras e Corretoras,PRIVADO HOLDING,SP
ATIVO,PETROLEO LUB DO NORDESTE SA,FORTALEZA,07.275.159/0001-68,Petróleo e Gás,PRIVADO,CE
CANCELADA,FLORESTAL BRASIL S.A.,SÃO PAULO,07.276.103/0001-28,Reflorestamento,PRIVADO,SP
CANCELADA,FAE - FERRAGENS APARELHOS ELÉTRICOS S/A,FORTALEZA,07.281.413/0001-30,Metalurgia e Siderurgia,PRIVADO,CE
ATIVO,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,PRESIDENTE PRUDENTE,07.282.377/0001-20,Energia Elétrica,PRIVADO,SP
CANCELADA,CIA INDL MICHELETTO,FORTALEZA,07.285.448/0001-48,Metalurgia e Siderurgia,PRIVADO,CE
CANCELADA,CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS,NATAL,07.292.675/0001-09,Alimentos,PRIVADO,RN
CANCELADA,VICUNHA TEXTIL SA,FORTALEZA,07.332.190/0001-93,Têxtil e Vestuário,PRIVADO,CE
ATIVO,MARINA DE IRACEMA PARK SA,FORTALEZA,07.334.600/0001-35,Hospedagem e Turismo,PRIVADO,CE
CANCELADA,CAJU INDUSTRIAL SA CISA,PACAJUS,07.340.946/0001-46,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,CE
CANCELADA,ESPLANADA HOTEIS SA,FORTALEZA,07.344.740/0001-94,Hospedagem e Turismo,PRIVADO,CE
CANCELADA,MÁXIMA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S/A,RIO DE JANEIRO,07.385.191/0001-04,Securitização de Recebíveis,PRIVADO,RJ
CANCELADA,UNI CIDADE SPTRUST DE RECEBÍVEIS SA,SÃO PAULO,07.394.616/0001-33,Securitização de Recebíveis,PRIVADO,SP
ATIVO,ELDORADO BRASIL CELULOSE S.A.,SÃO PAULO,07.401.436/0001-31,Papel e Celulose,PRIVADO HOLDING,SP
ATIVO,SIMPAR S.A.,SÃO PAULO,07.415.333/0001-20,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,CINESYSTEM S.A.,MARINGÁ,07.437.016/0001-05,Brinquedos e Lazer,PRIVADO,PR
CANCELADA,BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S.A.,SÃO PAULO,07.450.604/0001-89,Bancos,PRIVADO,SP
CANCELADA,NORSE ENERGY DO BRASIL SA,RIO DE JANEIRO,07.467.619/0001-50,Petróleo e Gás,ESTRANGEIRO,RJ
ATIVO,AMBEV S.A.,SÃO PAULO,07.526.557/0001-00,Bebidas e Fumo,ESTRANGEIRO HOLDING,SP
CANCELADA,CARIRI INDUSTRIAL DE OLEOS SA,JUAZEIRO DO NORTE,07.573.058/0001-73,Alimentos,PRIVADO,CE
CANCELADA,PLANETA SECURITIZADORA S.A.,SÃO PAULO,07.587.384/0001-30,Securitização de Recebíveis,PRIVADO,SP
ATIVO,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SÃO PAULO,07.594.978/0001-78,Brinquedos e Lazer,PRIVADO,SP
CANCELADA,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,SÃO PAULO,07.620.094/0001-40,Energia Elétrica,PRIVADO,SP
ATIVO,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,SÃO PAULO,07.628.528/0001-59,"Agricultura (Açúcar, Álcool e Cana)",ESTRANGEIRO,SP
ATIVO,ACO VERDE DO BRASIL S.A,AÇAILÂNDIA,07.636.657/0001-99,Metalurgia e Siderurgia,PRIVADO,MA
CANCELADA,MASTER SA TEC PLASTICOS,FORTALEZA,07.645.260/0001-63,Petroquímicos e Borracha,PRIVADO,CE
CANCELADA,MASTER IND PLAST CEARENSE SA,FORTALEZA,07.645.294/0001-58,Petroquímicos e Borracha,PRIVADO,CE
ATIVO,DINAMICA ENERGIA S/A,RIO DE JANEIRO,07.659.538/0001-51,Emp. Adm. Part. - Energia Elétrica,PRIVADO,RJ
ATIVO,CONCESSIONÁRIA DA LINHA 4 DO METRÔ DE SÃO PAULO S.A.,SÃO PAULO,07.682.638/0001-07,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SP
ATIVO,EMBRAER S.A.,SÃO JOSÉ DOS CAMPOS,07.689.002/0001-89,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,SÃO PAULO,07.698.047/0001-10,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,BROOKFIELD INCORPORAÇÕES S.A.,RIO DE JANEIRO,07.700.557/0001-84,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO HOLDING,RJ
CANCELADA,INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A,SÃO PAULO,07.704.069/0001-45,"Agricultura (Açúcar, Álcool e Cana)",ESTRANGEIRO HOLDING,SP
CANCELADA,DATORA PARTICIPAÇÕES E SERVIÇOS S/A,NOVA LIMA,07.704.246/0001-93,Comunicação e Informática,PRIVADO,MG
CANCELADA,BRPR 55 SECURITZADORA CRED IMOB SA,SÃO PAULO,07.710.591/0001-30,Securitização de Recebíveis,PRIVADO,SP
ATIVO,GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.,CARMO,07.714.104/0001-07,Telecomunicações,PRIVADO,RJ
CANCELADA,SPRINGS GLOBAL PARTICIPAÇÕES S/A - EM RECUPERAÇÃO JUDICIAL,MONTES CLAROS,07.718.269/0001-57,Emp. Adm. Part. - Têxtil e Vestuário,PRIVADO HOLDING,MG
CANCELADA,CIA INDUSTRIAL AGROPECUARIA CONAPE,SANTA QUITÉRIA,07.785.306/0001-40,Alimentos,PRIVADO,CE
CANCELADA,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,SÃO PAULO,07.794.351/0001-60,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
ATIVO,ESSENTIA PCHS S.A.,SÃO PAULO,07.802.794/0001-56,Energia Elétrica,ESTRANGEIRO,SP
CANCELADA,AMPLA INVESTIMENTOS E SERVIÇOS S/A,NITERÓI,07.809.905/0001-56,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,RJ
CANCELADA,BANCO COMERCIAL BANCESA S.A.,FORTALEZA,07.814.999/0001-51,Bancos,PRIVADO,CE
ATIVO,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,RIO DE JANEIRO,07.816.890/0001-53,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,RJ
ATIVO,FICA EMPREENDIMENTOS IMOBILIARIOS S.A.,SÃO PAULO,07.820.907/0001-46,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,FOZ DO RIO CLARO ENERGIA S.A.,SÃO PAULO,07.823.262/0001-03,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
CANCELADA,ACRUX SECURITIZADORA S/A,RIO DE JANEIRO,07.825.881/0001-29,Securitização de Recebíveis,PRIVADO,RJ
CANCELADA,CEMAG SA,FORTALEZA,07.844.087/0001-22,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,CE
CANCELADA,JHSF MALLS S.A.,SÃO PAULO,07.859.510/0001-68,Comércio (Atacado e Varejo),PRIVADO HOLDING,SP
ATIVO,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,RIO DE JANEIRO,07.859.971/0001-30,Emp. Adm. Part. - Energia Elétrica,PRIVADO,RJ
CANCELADA,ONE PROPERTIES S.A.,SÃO PAULO,07.875.234/0001-21,"Construção Civil, Mat. Constr. e Decoração",PRIVADO HOLDING,SP
ATIVO,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,SÃO PAULO,07.882.930/0001-65,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,CENTENNIAL ASSET PART. MINAS-RIO S/A,RIO DE JANEIRO,07.949.970/0001-87,Emp. Adm. Part. - Extração Mineral,PRIVADO HOLDING,RJ
CANCELADA,CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO,RIO DE JANEIRO,07.950.674/0001-04,Emp. Adm. Part. - Extração Mineral,PRIVADO HOLDING,RJ
CANCELADA,ÓLEO E GÁS PARTICIPAÇÕES S/A,RIO DE JANEIRO,07.957.093/0001-96,Emp. Adm. Part. - Petróleo e Gás,PRIVADO HOLDING,RJ
CANCELADA,MOVIDA LOCAÇÃO DE VEÍCULOS S.A,SÃO PAULO,07.976.147/0001-60,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,FORTALEZA,07.998.164/0001-07,Alimentos,PRIVADO,CE
CANCELADA,SPERB DO NE SA IND TEXTIL,PARNAMIRIM,08.064.412/0001-05,Têxtil e Vestuário,PRIVADO,RN
ATIVO,TECNISA S/A,SÃO PAULO,08.065.557/0001-12,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,RAÍZEN ENERGIA S.A.,SÃO PAULO,08.070.508/0001-78,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SP
CANCELADA,ISA CAPITAL DO BRASIL SA,SÃO PAULO,08.075.006/0001-30,Emp. Adm. Part. - Energia Elétrica,ESTRANGEIRO HOLDING,SP
ATIVO,LPS BRASIL CONSULTORIA DE IMOVEIS S/A,SÃO PAULO,08.078.847/0001-09,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",ESTRANGEIRO,SP
ATIVO,TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.,SÃO BERNARDO DO CAMPO,08.100.057/0001-74,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS,SÃO PAULO,08.140.464/0001-05,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,IGUA SANEAMENTO S.A.,SÃO PAULO,08.159.965/0001-33,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SP
ATIVO,DESKTOP S.A,NOVA ODESSA,08.170.849/0001-15,Telecomunicações,PRIVADO,SP
ATIVO,AURA ALMAS MINERAÇÃO S.A.,SÃO PAULO,08.213.823/0001-07,Emp. Adm. Part. - Extração Mineral,PRIVADO,SP
CANCELADA,ITAQUI GERAÇÃO DE ENERGIA S.A.,SÃO LUÍS,08.219.477/0001-74,Energia Elétrica,PRIVADO,MA
CANCELADA,ALCALIS RIO GRANDE DO NORTE SA,MACAU,08.240.673/0001-20,Petroquímicos e Borracha,PRIVADO,RN
CANCELADA,TFA SECURITIZADORA S/A,SÃO PAULO,08.253.728/0001-37,Securitização de Recebíveis,PRIVADO,SP
ATIVO,ALUBAR METAIS E CABOS S.A.,BARCARENA,08.262.121/0001-13,Metalurgia e Siderurgia,PRIVADO,PA
CANCELADA,MARISA SA,SÃO PAULO,08.262.343/0001-36,Comércio (Atacado e Varejo),PRIVADO HOLDING,SP
CANCELADA,RJ CAPITAL PARTNERS S.A.,RIO DE JANEIRO,08.281.683/0001-04,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
ATIVO,JHSF PARTICIPAÇÕES SA,SÃO PAULO,08.294.224/0001-65,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO HOLDING,SP
ATIVO,EZ TEC EMPREEND. E PARTICIPAÇÕES S/A,SÃO PAULO,08.312.229/0001-73,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
CANCELADA,T BARRETO IND COM SA,NATAL,08.320.244/0001-63,Têxtil e Vestuário,PRIVADO,RN
ATIVO,CERRADINHO BIOENERGIA S.A.,CHAPADÃO DO CÉU,08.322.396/0001-03,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,GO
ATIVO,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,NATAL,08.324.196/0001-81,Energia Elétrica,PRIVADO,RN
CANCELADA,COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE,NATAL,08.331.753/0001-91,Alimentos,PRIVADO,RN
ATIVO,MRV ENGENHARIA E PARTICIPAÇÕES S/A,BELO HORIZONTE,08.343.492/0001-20,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,MG
ATIVO,ALUPAR INVESTIMENTO S/A,SÃO PAULO,08.364.948/0001-38,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
ATIVO,GSH CORP PARTICIPAÇÕES S.A.,RIO DE JANEIRO,08.397.078/0001-01,Serviços Médicos,PRIVADO,RJ
CANCELADA,INDS JOSSAN SA,NATAL,08.397.697/0001-98,Metalurgia e Siderurgia,PRIVADO,RN
ATIVO,GUARARAPES CONFECÇÕES SA,NATAL,08.402.943/0001-52,Têxtil e Vestuário,PRIVADO,RN
ATIVO,TECBLU - TECELAGEM BLUMENAU S/A.,PARNAMIRIM,08.424.178/0001-71,Têxtil e Vestuário,PRIVADO,RN
ATIVO,CPFL ENERGIAS RENOVÁVEIS S.A.,CAMPINAS,08.439.659/0001-50,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
ATIVO,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,PORTO ALEGRE,08.467.115/0001-00,Energia Elétrica,ESTATAL,RS
CANCELADA,IND BEBS ANTARCTICA RN SA,SÃO GONÇALO DO AMARANTE,08.473.852/0001-08,Bebidas e Fumo,PRIVADO,RN
CANCELADA,COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES,UBERABA,08.493.364/0001-62,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",PRIVADO,MG
CANCELADA,SANTOS BRASIL TECON S.A.,SÃO PAULO,08.519.271/0001-60,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,RENOVA ENERGIA S.A.,SÃO PAULO,08.534.605/0001-74,Energia Elétrica,PRIVADO,SP
ATIVO,COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR,GOIÂNIA,08.560.444/0001-93,Emp. Adm. Part. - Energia Elétrica,ESTATAL HOLDING,GO
CANCELADA,REP REAL ESTATE PARTNERS DESENV IMOB SA,SÃO PAULO,08.572.741/0001-59,Emp. Adm. Part. - Arrendamento Mercantil,PRIVADO,SP
ATIVO,PRÁTICA PRODUTOS S.A.,POUSO ALEGRE,08.574.411/0001-00,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",PRIVADO,MG
ATIVO,NEXPE PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,08.613.550/0001-98,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
CANCELADA,SETIBA PARTICIPAÇÕES S/A,SÃO PAULO,08.638.269/0001-00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SP
CANCELADA,SAHY PARTICIPAÇÕES SA,SÃO PAULO,08.638.282/0001-69,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SP
CANCELADA,CAPRI PARTICIPAÇÕES SA,RIO DE JANEIRO,08.642.503/0001-72,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
CANCELADA,ALLIS PARTICIPAÇÕES S.A.,SÃO PAULO,08.648.295/0001-19,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SP
CANCELADA,BRC SECURITIZADORA SA,SÃO PAULO,08.653.753/0001-08,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,TIVIT TERCEIRIZAÇÃO DE TECNOLOGIA E SERVIÇOS S/A,SÃO PAULO,08.669.754/0001-40,Comunicação e Informática,PRIVADO HOLDING,SP
CANCELADA,MAGNESITA REFRATARIOS S.A.,CONTAGEM,08.684.547/0001-65,Emp. Adm. Part. - Extração Mineral,PRIVADO,MG
CANCELADA,BOVESPA HOLDING SA,SÃO PAULO,08.695.953/0001-23,Bolsas de Valores/Mercadorias e Futuros,PRIVADO HOLDING,SP
CANCELADA,BHG S.A. - BRAZIL HOSPITALITY GROUP,RIO DE JANEIRO,08.723.106/0001-25,Emp. Adm. Part. - Hospedagem e Turismo,PRIVADO,RJ
CANCELADA,PRUMO LOGÍSTICA S.A.,RIO DE JANEIRO,08.741.499/0001-08,Serviços Transporte e Logística,PRIVADO HOLDING,RJ
ATIVO,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,SÃO PAULO,08.764.621/0001-53,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,RIZA SECURITIZADORA S.A.,SÃO PAULO,08.769.451/0001-08,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,BRASILIANA PARTICIPAÇÕES S.A.,SÃO PAULO,08.773.191/0001-36,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
ATIVO,MAESTRO LOCADORA DE VEÍCULOS S.A.,EMBU DAS ARTES,08.795.211/0001-70,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,CURY CONSTRUTORA E INCORPORADORA S.A.,SÃO PAULO,08.797.760/0001-83,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,SYN PROP & TECH S.A.,SÃO PAULO,08.801.621/0001-86,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
ATIVO,YDUQS PARTICIPACOES S.A.,RIO DE JANEIRO,08.807.432/0001-10,Emp. Adm. Part. - Educação,PRIVADO,RJ
CANCELADA,GUARARAPES PAINÉIS S.A.,CAÇADOR,08.810.422/0001-34,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SC
CANCELADA,SAO BRAZ SA IND COM ALIMENTOS,CAMPINA GRANDE,08.811.226/0001-84,Alimentos,PRIVADO,PB
ATIVO,TRISUL S/A,SÃO PAULO,08.811.643/0001-27,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
ATIVO,CONCESSIONÁRIA DA RODOVIA MG-050 S.A.,DIVINÓPOLIS,08.822.767/0001-08,Serviços Transporte e Logística,PRIVADO,MG
CANCELADA,CAMPINENSE INDUSTRIAS GERAIS SA,CAMPINA GRANDE,08.823.932/0001-46,Têxtil e Vestuário,PRIVADO,PB
ATIVO,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,SÃO PAULO,08.827.501/0001-58,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SP
CANCELADA,CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA,RIO DE JANEIRO,08.835.366/0001-92,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,RJ
ATIVO,CORPÓREOS - SERVIÇOS TERAPÊUTICOS S.A.,SÃO PAULO,08.845.676/0001-98,Serviços Médicos,PRIVADO,SP
ATIVO,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,SÃO BERNARDO DO CAMPO,08.873.873/0001-10,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO HOLDING,SP
ATIVO,CSN MINERAÇÃO S.A.,CONGONHAS,08.902.291/0001-15,Extração Mineral,PRIVADO,MG
CANCELADA,NOVA SECURITIZAÇÃO S/A,SÃO PAULO,08.903.116/0001-42,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,MATONE SECURITIZADORA S/A,PORTO ALEGRE,08.904.090/0001-57,Securitização de Recebíveis,PRIVADO,RS
CANCELADA,PRIO FORTE S.A.,RIO DE JANEIRO,08.926.302/0001-05,Petróleo e Gás,PRIVADO,RJ
CANCELADA,MULTINER S/A,SÃO PAULO,08.935.054/0001-50,Energia Elétrica,PRIVADO HOLDING,SP
CANCELADA,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",SÃO PAULO,08.936.792/0001-12,Alimentos,ESTRANGEIRO HOLDING,SP
CANCELADA,BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A,SÃO PAULO,08.936.812/0001-55,Bolsas de Valores/Mercadorias e Futuros,PRIVADO,SP
CANCELADA,VISION SECURITIZADORA S.A.,SÃO PAULO,08.937.002/0001-13,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,LAHOTELS S.A.,SÃO PAULO,09.017.691/0001-00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SP
ATIVO,LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES,BELO HORIZONTE,09.041.168/0001-10,"Construção Civil, Mat. Constr. e Decoração",PRIVADO HOLDING,MG
ATIVO,BEMOBI MOBILE TECH S.A.,RIO DE JANEIRO,09.042.817/0001-05,Comunicação e Informática,PRIVADO,RJ
ATIVO,ELFA MEDICAMENTOS S.A.,BRASÍLIA,09.053.134/0001-45,Serviços Médicos,PRIVADO,DF
ATIVO,INBRANDS SA,SÃO PAULO,09.054.385/0001-44,Têxtil e Vestuário,PRIVADO,SP
ATIVO,TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA SA,LINS,09.074.183/0001-64,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.,RIO DE JANEIRO,09.083.175/0001-84,Comunicação e Informática,PRIVADO,RJ
ATIVO,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,JOÃO PESSOA,09.095.183/0001-40,Energia Elétrica,PRIVADO,PB
ATIVO,OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,09.112.685/0001-32,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
ATIVO,OCEANPACT SERVIÇOS MARÍTIMOS S.A.,RIO DE JANEIRO,09.114.805/0001-30,Petróleo e Gás,PRIVADO,RJ
CANCELADA,CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL,CONDE,09.116.278/0001-01,Embalagens,PRIVADO,PB
CANCELADA,CIA DE AGUA E ESGOTO DA PARAIBA,JOÃO PESSOA,09.123.654/0001-87,"Saneamento, Serv. Água e Gás",ESTATAL,PB
CANCELADA,POLYNOR SA IC FIBS SINTS DA PB,SÃO PAULO,09.126.970/0001-02,Têxtil e Vestuário,PRIVADO,SP
CANCELADA,MOENA PARTICIPAÇÕES S/A,SÃO PAULO,09.140.181/0001-26,Emp. Adm. Part. - Educação,PRIVADO HOLDING,SP
ATIVO,KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.,SÃO PAULO,09.146.451/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,SERENA GERAÇÃO S.A.,SÃO PAULO,09.149.503/0001-06,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
CANCELADA,MONTICIANO PARTICIPAÇÕES S/A,SÃO PAULO,09.191.251/0001-75,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SP
ATIVO,GPS PARTICIPAÇÕES E EMPREENDIMENTOS S/A,SÃO PAULO,09.229.201/0001-30,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
ATIVO,FERROVIA NORTE SUL S/A,SÃO LUÍS,09.257.877/0001-37,Serviços Transporte e Logística,PRIVADO,MA
CANCELADA,IND BEBS ANTARCTICA PARAIBA SA,JOÃO PESSOA,09.259.821/0001-11,Bebidas e Fumo,PRIVADO,PB
CANCELADA,YUNY INCORPORADORA HOLDING S.A.,SÃO PAULO,09.267.996/0001-70,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,ANIMA HOLDING S/A,SÃO PAULO,09.288.252/0001-32,Educação,PRIVADO HOLDING,SP
ATIVO,TECHNOS SA,RIO DE JANEIRO,09.295.063/0001-97,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,IRONX MINERAÇÃO S/A,RIO DE JANEIRO,09.295.979/0001-47,Metalurgia e Siderurgia,PRIVADO HOLDING,RJ
CANCELADA,HABITASEC SECURITIZADORA SA,SÃO PAULO,09.304.427/0001-58,Securitização de Recebíveis,PRIVADO,SP
ATIVO,AZUL S.A.,BARUERI,09.305.994/0001-29,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SP
ATIVO,AUTOPISTA LITORAL SUL,SÃO JOSÉ DOS PINHAIS,09.313.969/0001-97,Serviços Transporte e Logística,PRIVADO HOLDING,PR
ATIVO,AUTOPISTA FLUMINENSE SA,NITERÓI,09.324.949/0001-11,Serviços Transporte e Logística,PRIVADO HOLDING,RJ
ATIVO,AUTOPISTA PLANALTO SUL SA,RIO NEGRO,09.325.109/0001-73,Serviços Transporte e Logística,PRIVADO HOLDING,PR
ATIVO,AUTOPISTA FERNÃO DIAS SA,POUSO ALEGRE,09.326.342/0001-70,Serviços Transporte e Logística,PRIVADO HOLDING,MG
ATIVO,AUTOPISTA REGIS BITTENCOURT SA,REGISTRO,09.336.431/0001-06,Serviços Transporte e Logística,PRIVADO HOLDING,SP
CANCELADA,FAE ADM. E PARTICIPAÇÕES SA,FORTALEZA,09.337.210/0001-44,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,CE
ATIVO,"B3 S.A. - BRASIL, BOLSA, BALCÃO",SÃO PAULO,09.346.601/0001-25,Bolsas de Valores/Mercadorias e Futuros,PRIVADO,SP
CANCELADA,ELETROMIDIA S.A.,SÃO PAULO,09.347.516/0001-81,Emp. Adm. Part. - Comunicação e Informática,PRIVADO,SP
CANCELADA,KAROON PETROLEO & GAS SA,RIO DE JANEIRO,09.347.916/0001-97,Petróleo e Gás,PRIVADO,RJ
CANCELADA,CETIP S.A. - MERCADOS ORGANIZADOS,RIO DE JANEIRO,09.358.105/0001-91,Intermediação Financeira,PRIVADO,RJ
ATIVO,ASA BRANCA HOLDING S.A.,SÃO PAULO,09.359.927/0001-97,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SP
CANCELADA,AGRO PASTORIL CARIRI SA CARIRISA,CAMPINA GRANDE,09.378.563/0001-92,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,PB
