SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF,CATEG_REG
CANCELADA,10.728.806/0001-54,INDS COELHO SA,RECIFE,7382,1977-07-20 00:00:00,2010-01-04 00:00:00,Alimentos,PRIVADO,SEDE,PE,Categoria A
CANCELADA,60.873.874/0001-85,INDS MADEIRIT SA,SÃO PAULO,7439,1968-08-05 00:00:00,2010-01-04 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
CANCELADA,28.500.320/0001-20,INDÚSTRIA VEROLME S.A. - IVESA,RIO DE JANEIRO,12866,1986-07-02 00:00:00,2015-04-07 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO HOLDING,SEDE,RJ,Categoria A
CANCELADA,02.225.714/0001-23,INEPAR ENERGIA SA,CURITIBA,16730,1997-12-17 00:00:00,2011-11-21 00:00:00,Energia Elétrica,PRIVADO,SEDE,PR,Categoria A
ATIVO,02.258.422/0001-97,INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA,CURITIBA,17868,1998-10-23 00:00:00,1998-10-23 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,PR,Categoria A
ATIVO,76.627.504/0001-06,INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL,CURITIBA,7595,1980-01-22 00:00:00,1980-01-22 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,PR,Categoria A
ATIVO,38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,SÃO PAULO,25747,2021-04-27 00:00:00,2021-04-27 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP,Categoria A
CANCELADA,10.488.244/0001-19,INFRASEC SECURITIZADORA S/A,SÃO PAULO,21750,2009-09-22 00:00:00,2026-04-13 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,SP,Categoria B
CANCELADA,02.604.860/0001-60,INNCORP S.A.,SÃO PAULO,17558,1998-07-20 00:00:00,2020-11-05 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,35.822.503/0001-27,INSPIRALI EDUCAÇÃO S.A.,BELO HORIZONTE,27251,2023-07-27 00:00:00,2023-07-27 00:00:00,Educação,PRIVADO,SEDE,MG,Categoria B
CANCELADA,19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,BELO HORIZONTE,24090,2017-02-10 00:00:00,2023-07-19 00:00:00,Serviços Médicos,PRIVADO,SEDE,MG,Categoria A
CANCELADA,19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,BELO HORIZONTE,24090,2017-02-10 00:00:00,2023-07-19 00:00:00,Serviços Médicos,PRIVADO,SEDE,MG,Categoria A
ATIVO,82.901.000/0001-27,INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,SÃO JOSÉ,25453,2021-02-02 00:00:00,2021-02-02 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SC,Categoria A
CANCELADA,12.395.063/0001-73,INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO,CURITIBA,23043,2013-02-19 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Educação,PRIVADO,SEDE,PR,Categoria A
CANCELADA,62.258.884/0001-36,INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,19631,2004-11-12 00:00:00,2011-08-01 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria B
CANCELADA,62.258.884/0001-36,INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,25992,2021-07-14 00:00:00,2026-04-27 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
CANCELADA,12.610.116/0001-21,INTERCOSMETIC HOLDING S/A,CURITIBA,22888,2012-08-06 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Farmacêutico e Higiene,PRIVADO,SEDE,PR,Categoria A
CANCELADA,12.394.916/0001-52,INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL,CURITIBA,23086,2013-02-28 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,PR,Categoria A
ATIVO,17.314.329/0001-20,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,SÃO PAULO,23574,2015-03-19 00:00:00,2015-03-19 00:00:00,Alimentos,PRIVADO,SEDE,SP,Categoria A
CANCELADA,08.936.792/0001-12,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",SÃO PAULO,21890,2009-12-18 00:00:00,2010-03-26 00:00:00,Alimentos,ESTRANGEIRO HOLDING,SEDE,SP,Categoria A
CANCELADA,08.936.792/0001-12,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",SÃO PAULO,22438,2011-03-03 00:00:00,2014-12-01 00:00:00,Alimentos,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,05.347.060/0001-07,INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.,SÃO PAULO,26387,2021-11-19 00:00:00,2024-10-30 00:00:00,Farmacêutico e Higiene,PRIVADO,SEDE,SP,Categoria A
ATIVO,00.644.907/0001-93,INVESTCO S/A,MIRACEMA DO TOCANTINS,18589,2000-02-04 00:00:00,2000-02-04 00:00:00,Energia Elétrica,PRIVADO,SEDE,TO,Categoria A
ATIVO,01.548.981/0001-79,INVESTIMENTOS BEMGE S.A.,SÃO PAULO,6041,1977-07-20 00:00:00,1977-07-20 00:00:00,Bancos,PRIVADO,SEDE,SP,Categoria A
ATIVO,03.758.318/0001-24,INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR,GUARULHOS,18775,2000-09-29 00:00:00,2000-09-29 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria A
ATIVO,03.758.318/0001-24,INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR,GUARULHOS,18775,2000-09-29 00:00:00,2000-09-29 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria A
CANCELADA,10.242.478/0001-81,INVITEL LEGACY SA,RIO DE JANEIRO,21687,2008-11-11 00:00:00,2020-07-01 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,SEDE,RJ,Categoria B
ATIVO,61.156.113/0001-75,IOCHPE MAXION SA,CRUZEIRO,11932,1984-07-17 00:00:00,1984-07-17 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP,Categoria A
ATIVO,61.156.113/0001-75,IOCHPE MAXION SA,CRUZEIRO,11932,1984-07-17 00:00:00,1984-07-17 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP,Categoria A
ATIVO,61.156.113/0001-75,IOCHPE MAXION SA,CRUZEIRO,11932,1984-07-17 00:00:00,1984-07-17 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP,Categoria A
ATIVO,92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,PORTO ALEGRE,2429,1977-07-20 00:00:00,1977-07-20 00:00:00,Embalagens,PRIVADO,SEDE,RS,Categoria A
ATIVO,33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,RIO DE JANEIRO,24180,2017-07-27 00:00:00,2017-07-27 00:00:00,Seguradoras e Corretoras,PRIVADO,SEDE,RJ,Categoria A
ATIVO,33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,RIO DE JANEIRO,24180,2017-07-27 00:00:00,2017-07-27 00:00:00,Seguradoras e Corretoras,PRIVADO,SEDE,RJ,Categoria A
CANCELADA,08.075.006/0001-30,ISA CAPITAL DO BRASIL SA,SÃO PAULO,20427,2007-01-04 00:00:00,2010-05-28 00:00:00,Emp. Adm. Part. - Energia Elétrica,ESTRANGEIRO HOLDING,SEDE,SP,Categoria B
ATIVO,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,SÃO PAULO,18376,1999-07-14 00:00:00,1999-07-14 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,SÃO PAULO,18376,1999-07-14 00:00:00,1999-07-14 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,13.407.617/0001-78,ISOLUX INFRASTRUCTURE SA,SÃO PAULO,22624,2011-12-09 00:00:00,2012-03-29 00:00:00,Energia Elétrica,ESTRANGEIRO,SEDE,SP,Categoria A
CANCELADA,01.355.994/0001-21,ITA ENERGETICA S/A,SÃO PAULO,18910,2001-03-21 00:00:00,2012-12-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria B
CANCELADA,01.258.943/0001-81,ITAITINGA PARTICIPACOES SA,SÃO PAULO,15865,1996-11-07 00:00:00,2019-08-19 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,02.397.080/0001-96,ITAPEBI GERAÇÃO DE ENERGIA S/A,RIO DE JANEIRO,19364,2003-02-05 00:00:00,2026-02-25 00:00:00,Energia Elétrica,PRIVADO,SEDE,RJ,Categoria B
CANCELADA,08.219.477/0001-74,ITAQUI GERAÇÃO DE ENERGIA S.A.,SÃO LUÍS,23213,2013-09-26 00:00:00,2015-07-31 00:00:00,Energia Elétrica,PRIVADO,SEDE,MA,Categoria B
ATIVO,60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,SÃO PAULO,19348,2002-12-30 00:00:00,2002-12-30 00:00:00,Bancos,PRIVADO,SEDE,SP,Categoria A
ATIVO,61.532.644/0001-15,ITAUSA S.A.,SÃO PAULO,7617,1977-07-20 00:00:00,1977-07-20 00:00:00,Emp. Adm. Part. - Intermediação Financeira,PRIVADO,SEDE,SP,Categoria A
ATIVO,61.532.644/0001-15,ITAUSA S.A.,SÃO PAULO,7617,1977-07-20 00:00:00,1977-07-20 00:00:00,Emp. Adm. Part. - Intermediação Financeira,PRIVADO,SEDE,SP,Categoria A
CANCELADA,07.256.507/0001-50,ITAUSEG PARTICIPAÇÕES SA,SÃO PAULO,19933,2006-01-05 00:00:00,2012-11-28 00:00:00,Emp. Adm. Part. - Seguradoras e Corretoras,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,54.526.082/0001-31,ITAUTEC S.A. - GRUPO ITAUTEC,SÃO PAULO,12530,1985-11-14 00:00:00,2019-08-15 00:00:00,Comunicação e Informática,PRIVADO,SEDE,SP,Categoria A
ATIVO,14.998.371/0001-19,J. MACEDO S/A,FORTALEZA,21156,2007-10-16 00:00:00,2007-10-16 00:00:00,Alimentos,PRIVADO,SEDE,CE,Categoria B
ATIVO,02.635.522/0001-95,JALLES MACHADO S.A.,GOIANÉSIA,25496,2021-02-04 00:00:00,2021-02-04 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SEDE,GO,Categoria A
CANCELADA,84.432.426/0001-04,JARAGUA FABRIL SA,JARAGUÁ DO SUL,7781,1956-03-31 00:00:00,2010-01-04 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SC,Categoria A
ATIVO,02.916.265/0001-60,JBS SA,SÃO PAULO,20575,2007-03-27 00:00:00,2007-03-27 00:00:00,Alimentos,PRIVADO,SEDE,SP,Categoria A
CANCELADA,07.859.510/0001-68,JHSF MALLS S.A.,SÃO PAULO,24473,2018-06-25 00:00:00,2023-12-06 00:00:00,Comércio (Atacado e Varejo),PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,08.294.224/0001-65,JHSF PARTICIPAÇÕES SA,SÃO PAULO,20605,2007-04-04 00:00:00,2007-04-04 00:00:00,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,33.035.536/0001-00,JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,7811,1977-07-20 00:00:00,2021-05-19 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,RJ,Categoria A
ATIVO,87.456.562/0001-22,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,PORTO ALEGRE,13285,1988-03-04 00:00:00,1988-03-04 00:00:00,Emp. Adm. Part. - Alimentos,PRIVADO,SEDE,RS,Categoria A
CANCELADA,15.463.423/0001-15,JP PARTICIPAÇÕES S.A.,SÃO PAULO,23299,2013-11-22 00:00:00,2014-12-31 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO,SEDE,SP,Categoria A
CANCELADA,53.790.218/0001-53,JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.,SÃO PAULO,12262,1985-01-04 00:00:00,2017-07-28 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO,SEDE,SP,Categoria A
ATIVO,52.548.435/0001-79,JSL S.A.,SÃO PAULO,22020,2010-04-15 00:00:00,2010-04-15 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,SP,Categoria A
