SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF,CATEG_REG
SUSPENSO(A) - DECISÃO ADM,08.773.135/0001-00,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,25224,2020-10-29 00:00:00,2026-05-19 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,11.396.633/0001-87,3A COMPANHIA SECURITIZADORA,RIO DE JANEIRO,21954,2010-03-08 00:00:00,2015-12-18 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ,Categoria B
ATIVO,01.547.749/0001-16,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,RIO DE JANEIRO,16330,1997-07-11 00:00:00,1997-07-11 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ,Categoria B
ATIVO,01.851.771/0001-55,524 PARTICIPAÇOES SA,RIO DE JANEIRO,16284,1997-05-30 00:00:00,1997-05-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ,Categoria A
CANCELADA,34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,BARUERI,15270,1995-12-20 00:00:00,2009-09-30 00:00:00,Arrendamento Mercantil,PRIVADO,SEDE,SP,Categoria A
CANCELADA,07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,SÃO PAULO,20206,2006-07-24 00:00:00,2010-05-28 00:00:00,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SEDE,SP,Categoria A
ATIVO,07.636.657/0001-99,ACO VERDE DO BRASIL S.A,AÇAILÂNDIA,26425,2021-11-29 00:00:00,2021-11-29 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MA,Categoria B
CANCELADA,60.664.810/0001-74,AÇOS VILLARES SA,SÃO PAULO,108,1969-05-16 00:00:00,2010-12-30 00:00:00,Metalurgia e Siderurgia,ESTRANGEIRO,SEDE,SP,Categoria A
CANCELADA,07.825.881/0001-29,ACRUX SECURITIZADORA S/A,RIO DE JANEIRO,20230,2006-08-09 00:00:00,2016-02-04 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ,Categoria B
CANCELADA,47.080.619/0001-17,AÇUCAR GUARANI S/A,OLÍMPIA,20940,2007-07-20 00:00:00,2010-08-13 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,SÃO PAULO,21725,2009-06-24 00:00:00,2022-07-12 00:00:00,Farmacêutico e Higiene,ESTRANGEIRO,SEDE,SP,Categoria A
ATIVO,08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,SÃO PAULO,23396,2014-05-21 00:00:00,2014-05-21 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE,Categoria A
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE,Categoria A
CANCELADA,01.917.705/0001-30,AES ELPA SA,BARUERI,19313,2002-10-14 00:00:00,2018-09-05 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,04.128.563/0001-10,AES TIETÊ ENERGIA S.A,SÃO PAULO,18970,2001-06-29 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,04.128.563/0001-10,AES TIETÊ ENERGIA S.A,SÃO PAULO,18970,2001-06-29 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.998.609/0001-27,AES TIETE SA,BARUERI,18350,1999-07-14 00:00:00,2015-10-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.998.609/0001-27,AES TIETE SA,BARUERI,18350,1999-07-14 00:00:00,2015-10-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.808.481/0001-91,AETATIS SECURITIZADORA S.A.,SÃO PAULO,18104,1998-12-17 00:00:00,2016-06-24 00:00:00,Securitização de Recebíveis,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,07.620.094/0001-40,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,SÃO PAULO,20150,2006-07-12 00:00:00,2017-11-24 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
ATIVO,10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,RIO DE JANEIRO,22179,2010-09-24 00:00:00,2010-09-24 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,RJ,Categoria A
CANCELADA,07.698.047/0001-10,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,SÃO PAULO,20664,2007-04-19 00:00:00,2010-05-28 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
CANCELADA,11.040.082/0001-14,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,SÃO PAULO,21911,2009-12-22 00:00:00,2010-07-19 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
ATIVO,21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,GOIÂNIA,25658,2021-03-19 00:00:00,2021-03-19 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,GO,Categoria A
ATIVO,27.157.474/0001-06,ÁGUAS DE TERESINA SANEAMENTO SPE S.A.,TERESINA,25615,2021-02-25 00:00:00,2021-02-25 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PI,Categoria B
ATIVO,61.067.901/0001-95,ÁGUAS DO PARÁ A SPE S.A,BELÉM,27979,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA,Categoria B
ATIVO,61.067.902/0001-30,ÁGUAS DO PARÁ B SPE S.A.,BRAGANÇA,27960,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA,Categoria B
ATIVO,61.067.904/0001-29,ÁGUAS DO PARÁ D SPE S.A.,PARAUAPEBAS,27987,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA,Categoria B
ATIVO,42.310.775/0001-03,ÁGUAS DO RIO 1 SPE S.A.,RIO DE JANEIRO,26735,2022-03-30 00:00:00,2022-03-30 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,RJ,Categoria B
ATIVO,42.644.220/0001-06,ÁGUAS DO RIO 4 SPE S.A.,RIO DE JANEIRO,26743,2022-03-30 00:00:00,2022-03-30 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,RJ,Categoria B
ATIVO,45.456.117/0001-12,ÁGUAS DO SERTAO S.A.,PENEDO,27359,2023-11-03 00:00:00,2023-11-03 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SEDE,AL,Categoria B
ATIVO,04.089.570/0001-50,AGUAS GUARIROBA S.A.,CAMPO GRANDE,23442,2014-08-06 00:00:00,2014-08-06 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,MS,Categoria B
CANCELADA,09.594.796/0001-22,AGV HOLDING S/A,VINHEDO,21806,2009-11-05 00:00:00,2014-03-10 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria B
ATIVO,23.438.929/0001-00,ALARES INTERNET PARTICIPAÇÕES S/A,SÃO PAULO,25194,2020-10-14 00:00:00,2020-10-14 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO,SEDE,SP,Categoria A
CANCELADA,08.240.673/0001-20,ALCALIS RIO GRANDE DO NORTE SA,MACAU,15067,1995-07-28 00:00:00,2010-01-04 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,RN,Categoria A
ATIVO,17.167.396/0001-69,ALFA HOLDINGS S.A.,SÃO PAULO,9954,1977-07-20 00:00:00,1977-07-20 00:00:00,Emp. Adm. Part. - Intermediação Financeira,PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,71.208.516/0001-74,ALGAR TELECOM S/A,UBERLÂNDIA,21032,2007-07-27 00:00:00,2007-07-27 00:00:00,Telecomunicações,PRIVADO,SEDE,MG,Categoria B
CANCELADA,06.082.980/0001-03,ALIANSCE SHOPPING CENTERS S/A,RIO DE JANEIRO,21300,2008-01-18 00:00:00,2019-08-05 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ,Categoria A
ATIVO,61.156.931/0001-78,ALIPERTI S.A.,SÃO PAULO,12823,1986-06-06 00:00:00,1986-06-06 00:00:00,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.783.425/0001-40,ALIUM PARTICIPAÇÕES SA,RIO DE JANEIRO,18082,1998-12-10 00:00:00,2011-08-31 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ,Categoria A
ATIVO,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,SÃO PAULO,24058,2016-10-26 00:00:00,2016-10-26 00:00:00,Serviços Médicos,PRIVADO,SEDE,SP,Categoria A
ATIVO,20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,SÃO PAULO,25330,2020-11-25 00:00:00,2020-11-25 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP,Categoria A
ATIVO,20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,SÃO PAULO,25330,2020-11-25 00:00:00,2020-11-25 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP,Categoria A
CANCELADA,08.648.295/0001-19,ALLIS PARTICIPAÇÕES S.A.,SÃO PAULO,20850,2007-07-02 00:00:00,2015-08-26 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,05.878.397/0001-32,ALLOS S.A.,RIO DE JANEIRO,22357,2011-02-01 00:00:00,2011-02-01 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO HOLDING,SEDE,RJ,Categoria A
ATIVO,05.878.397/0001-32,ALLOS S.A.,RIO DE JANEIRO,22357,2011-02-01 00:00:00,2011-02-01 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO HOLDING,SEDE,RJ,Categoria A
ATIVO,60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",SÃO PAULO,24953,2020-05-13 00:00:00,2020-05-13 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria A
ATIVO,60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",SÃO PAULO,24953,2020-05-13 00:00:00,2020-05-13 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria A
ATIVO,82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,SÃO PAULO,26395,2021-11-22 00:00:00,2021-11-22 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO,SEDE,SP,Categoria A
ATIVO,61.079.117/0001-05,ALPARGATAS SA,SÃO PAULO,10456,1977-07-20 00:00:00,1977-07-20 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SP,Categoria A
ATIVO,61.079.117/0001-05,ALPARGATAS SA,SÃO PAULO,10456,1977-07-20 00:00:00,1977-07-20 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SP,Categoria A
CANCELADA,11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,SÃO PAULO,22217,2010-10-28 00:00:00,2024-09-23 00:00:00,Emp. Adm. Part. - Seguradoras e Corretoras,PRIVADO,SEDE,SP,Categoria A
ATIVO,16.811.931/0001-00,ALPHAVILLE S.A.,SÃO PAULO,25275,2020-11-05 00:00:00,2020-11-05 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.783.423/0001-50,ALTERE SECURITIZADORA S.A.,SÃO PAULO,18066,1998-12-10 00:00:00,2024-08-09 00:00:00,Securitização de Recebíveis,PRIVADO HOLDING,SEDE,SP,Categoria B
ATIVO,48.344.725/0007-19,ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA,ATIBAIA,27030,2022-11-30 00:00:00,2022-11-30 00:00:00,Farmacêutico e Higiene,PRIVADO,SEDE,SP,Categoria B
CANCELADA,92.859.974/0001-43,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,SÃO LEOPOLDO,23183,2013-07-02 00:00:00,2017-12-08 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RS,Categoria A
ATIVO,08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,BARCARENA,27430,2024-01-29 00:00:00,2024-01-29 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,PA,Categoria B
ATIVO,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,SÃO PAULO,21490,2008-06-18 00:00:00,2008-06-18 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
ATIVO,42.233.757/0001-75,ALVAREZ & MARSAL INVESTIMENTOS I S.A.,SÃO PAULO,26433,2021-11-30 00:00:00,2021-11-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,SP,Categoria A
CANCELADA,24.170.211/0001-30,AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,RIO DE JANEIRO,24503,2018-08-14 00:00:00,2018-11-05 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ,Categoria A
CANCELADA,38.543.489/0001-10,AMAZONE FUN PARKS S/A,PENHA,26930,2022-08-26 00:00:00,2023-06-16 00:00:00,Hospedagem e Turismo,ESTRANGEIRO HOLDING,SEDE,SC,Categoria B
ATIVO,07.526.557/0001-00,AMBEV S.A.,SÃO PAULO,23264,2013-10-30 00:00:00,2013-10-30 00:00:00,Bebidas e Fumo,ESTRANGEIRO HOLDING,SEDE,SP,Categoria A
ATIVO,07.526.557/0001-00,AMBEV S.A.,SÃO PAULO,23264,2013-10-30 00:00:00,2013-10-30 00:00:00,Bebidas e Fumo,ESTRANGEIRO HOLDING,SEDE,SP,Categoria A
ATIVO,12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,SÃO PAULO,24961,2020-05-15 00:00:00,2020-05-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,SP,Categoria A
ATIVO,12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,SÃO PAULO,24961,2020-05-15 00:00:00,2020-05-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,SP,Categoria A
ATIVO,00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,20990,2007-07-26 00:00:00,2007-07-26 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ,Categoria A
ATIVO,00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,20990,2007-07-26 00:00:00,2007-07-26 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ,Categoria A
CANCELADA,01.685.903/0001-16,AMERICEL SA,BRASÍLIA,16195,1997-03-26 00:00:00,2012-09-04 00:00:00,Telecomunicações,PRIVADO,SEDE,DF,Categoria A
CANCELADA,36.461.242/0001-20,AMIL PARTICIPAÇÕES S/A,RIO DE JANEIRO,21172,2007-10-24 00:00:00,2013-05-09 00:00:00,Serviços Médicos,PRIVADO HOLDING,SEDE,RJ,Categoria A
CANCELADA,03.494.776/0001-01,AMMO VAREJO S.A.,SÃO PAULO,26476,2021-12-14 00:00:00,2025-05-23 00:00:00,Emp. Adm. Part. - Têxtil e Vestuário,PRIVADO,SEDE,SP,Categoria A
ATIVO,33.050.071/0001-58,AMPLA ENERGIA E SERVIÇOS S.A.,RIO DE JANEIRO,3050,1969-08-15 00:00:00,1969-08-15 00:00:00,Energia Elétrica,ESTRANGEIRO,SEDE,RJ,Categoria A
CANCELADA,07.809.905/0001-56,AMPLA INVESTIMENTOS E SERVIÇOS S/A,NITERÓI,20214,2006-07-27 00:00:00,2012-05-23 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,RJ,Categoria A
CANCELADA,03.601.314/0001-38,ANDRADE GUTIERREZ CONCESSOES SA,BELO HORIZONTE,19437,2003-09-01 00:00:00,2018-12-31 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,MG,Categoria A
CANCELADA,04.031.960/0001-70,ANDRADE GUTIERREZ PARTICIPAÇÕES SA,BELO HORIZONTE,19062,2001-10-29 00:00:00,2019-08-12 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,MG,Categoria A
CANCELADA,38.482.780/0001-26,ANEMUS WIND HOLDING S.A.,SÃO PAULO,26832,2022-06-08 00:00:00,2025-12-19 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria B
CANCELADA,04.310.392/0001-46,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,VALINHOS,18961,2001-06-08 00:00:00,2014-10-08 00:00:00,Emp. Adm. Part. - Educação,PRIVADO,SEDE,SP,Categoria A
ATIVO,09.288.252/0001-32,ANIMA HOLDING S/A,SÃO PAULO,23248,2013-10-24 00:00:00,2013-10-24 00:00:00,Educação,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,11.197.023/0001-54,AQUA-RIO S/A,RIO DE JANEIRO,22101,2010-07-26 00:00:00,2012-06-26 00:00:00,Brinquedos e Lazer,PRIVADO,SEDE,RJ,Categoria B
CANCELADA,09.439.783/0001-89,ÁQUILLA SECURITIZADORA SA,SÃO PAULO,21512,2008-06-24 00:00:00,2021-03-16 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,SP,Categoria B
CANCELADA,15.914.972/0001-69,AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.,PAULÍNIA,22950,2012-09-05 00:00:00,2018-12-04 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,SP,Categoria B
CANCELADA,42.157.511/0001-61,ARACRUZ CELULOSE S/A,ARACRUZ,434,1980-02-05 00:00:00,2009-12-31 00:00:00,Papel e Celulose,PRIVADO,SEDE,ES,Categoria A
ATIVO,14.127.813/0001-51,ARANDU INVESTIMENTOS S.A.,SÃO PAULO,25887,2021-05-13 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Intermediação Financeira,PRIVADO,SEDE,SP,Categoria A
CANCELADA,03.616.277/0001-31,ARAUCÁRIA PARTICIPAÇÕES SA,RIO DE JANEIRO,18651,2000-04-18 00:00:00,2014-11-14 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ,Categoria A
ATIVO,24.624.551/0001-94,ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,SÃO PAULO,24120,2017-04-24 00:00:00,2017-04-24 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria B
ATIVO,24.624.490/0001-65,ARGO TRANSMISSÃO DE ENERGIA S.A.,SÃO PAULO,24210,2017-09-22 00:00:00,2017-09-22 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria B
ATIVO,20.514.590/0001-88,ARGO V TRANSMISSAO DE ENERGIA S.A.,SÃO PAULO,26662,2022-03-21 00:00:00,2022-03-21 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria B
ATIVO,20.514.555/0001-69,ARGO VI TRANSMISSAO DE ENERGIA S.A.,SÃO PAULO,26670,2022-03-21 00:00:00,2022-03-21 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria B
ATIVO,00.242.184/0001-04,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",BARUERI,26069,2021-07-26 00:00:00,2021-07-26 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria A
ATIVO,00.242.184/0001-04,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",BARUERI,26069,2021-07-26 00:00:00,2021-07-26 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria A
ATIVO,02.919.555/0001-67,ARTERIS S.A.,SÃO PAULO,19771,2005-07-06 00:00:00,2005-07-06 00:00:00,Serviços Transporte e Logística,ESTRANGEIRO,SEDE,SP,Categoria B
CANCELADA,92.189.356/0001-33,ARTHUR LANGE SA IND E COM,TURUÇU,574,1977-07-20 00:00:00,2011-01-04 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,RS,Categoria A
ATIVO,09.359.927/0001-97,ASA BRANCA HOLDING S.A.,SÃO PAULO,26514,2021-12-20 00:00:00,2021-12-20 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria B
ATIVO,38.286.323/0001-66,ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.,SÃO PAULO,27545,2024-07-15 00:00:00,2024-07-15 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,75.315.333/0001-09,ATACADÃO S.A.,SÃO PAULO,24171,2017-07-18 00:00:00,2025-12-22 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),ESTRANGEIRO,SEDE,SP,Categoria B
CANCELADA,75.315.333/0001-09,ATACADÃO S.A.,SÃO PAULO,24171,2017-07-18 00:00:00,2025-12-22 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),ESTRANGEIRO,SEDE,SP,Categoria B
CANCELADA,31.701.408/0001-14,ATHENA SAÚDE BRASIL S.A.,SÃO PAULO,25810,2021-05-11 00:00:00,2022-11-24 00:00:00,Emp. Adm. Part. - Serviços médicos,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,13.720.918/0001-57,ATIVOS BRASILEIROS S.A.,CURITIBA,22918,2012-08-10 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,PR,Categoria A
CANCELADA,12.610.165/0001-64,ATLETAS BRASILEIROS S/A,CURITIBA,22934,2012-09-03 00:00:00,2017-09-20 00:00:00,Brinquedos e Lazer,PRIVADO,SEDE,PR,Categoria A
ATIVO,23.994.857/0001-70,ATOM EDUCAÇÃO E EDITORA S.A.,SOROCABA,27677,2024-10-18 00:00:00,2024-10-18 00:00:00,Educação,PRIVADO,SEDE,SP,Categoria A
ATIVO,08.213.823/0001-07,AURA ALMAS MINERAÇÃO S.A.,SÃO PAULO,26590,2022-01-06 00:00:00,2022-01-06 00:00:00,Emp. Adm. Part. - Extração Mineral,PRIVADO,SEDE,SP,Categoria B
ATIVO,28.594.234/0001-23,AUREN ENERGIA S.A,SÃO PAULO,26620,2022-02-25 00:00:00,2022-02-25 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
ATIVO,28.594.234/0001-23,AUREN ENERGIA S.A,SÃO PAULO,26620,2022-02-25 00:00:00,2022-02-25 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
ATIVO,00.194.724/0001-13,AUREN OPERAÇÕES S.A.,BAURU,26174,2021-08-17 00:00:00,2021-08-17 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,37.663.076/0001-07,AUREN PARTICIPAÇÕES S.A.,SÃO PAULO,25640,2021-03-18 00:00:00,2021-03-18 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,59.104.513/0001-95,AUTOMETAL S/A,DIADEMA,22381,2011-02-03 00:00:00,2014-10-14 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP,Categoria A
ATIVO,35.654.688/0001-08,AUTOMOB PARTICIPAÇÕES S.A.,CUIABÁ,27707,2024-11-27 00:00:00,2024-11-27 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,MT,Categoria A
CANCELADA,43.513.237/0001-89,AUTOMOB S.A.,MOGI DAS CRUZES,27413,2024-01-23 00:00:00,2024-12-31 00:00:00,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,09.326.342/0001-70,AUTOPISTA FERNÃO DIAS SA,POUSO ALEGRE,21989,2010-03-29 00:00:00,2010-03-29 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,MG,Categoria B
ATIVO,09.324.949/0001-11,AUTOPISTA FLUMINENSE SA,NITERÓI,22004,2010-03-29 00:00:00,2010-03-29 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,RJ,Categoria B
ATIVO,09.313.969/0001-97,AUTOPISTA LITORAL SUL,SÃO JOSÉ DOS PINHAIS,21997,2010-03-29 00:00:00,2010-03-29 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,PR,Categoria B
ATIVO,09.325.109/0001-73,AUTOPISTA PLANALTO SUL SA,RIO NEGRO,21970,2010-03-29 00:00:00,2010-03-29 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,PR,Categoria B
ATIVO,09.336.431/0001-06,AUTOPISTA REGIS BITTENCOURT SA,REGISTRO,21962,2010-03-29 00:00:00,2010-03-29 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,02.679.185/0001-38,AUTOVIAS S/A,RIBEIRÃO PRETO,21822,2009-11-27 00:00:00,2019-09-16 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,27.956.690/0001-03,AUZZA SECURITIZADORA S. A.,CURITIBA,24333,2018-01-19 00:00:00,2026-05-07 00:00:00,Securitização de Recebíveis,PRIVADO HOLDING,SEDE,PR,Categoria B
CANCELADA,15.011.696/0001-29,AVAL SECURITIZADORA DE CREDITOS S.A.,CUIABÁ,23973,2016-08-08 00:00:00,2017-11-30 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,MT,Categoria B
ATIVO,00.357.038/0001-16,AXIA ENERGIA NORTE S.A.,BRASÍLIA,27472,2024-05-24 00:00:00,2024-05-24 00:00:00,Energia Elétrica,PRIVADO,SEDE,DF,Categoria B
